Project ID,Milestone,Schedule Category,Dates
24ESGMDNI01,Business Case Approval,Baseline,30/05/2024
24ESGMDNI01,CR approval (Consultant),Baseline,30/07/2024
24ESGMDNI01,Business Case Approval,Capex,30/05/2024
24ESGMDNI01,CR approval (Consultant),Capex,30/07/2024
24ESGMDNI01,Letter of Award (Consultant),Baseline,30/11/2024
24ESGMDNI01,Letter of Award (Consultant),Capex,30/11/2024
24ESGMDNI01,Detail Design Approval,Baseline,30/08/2025
24ESGMDNI01,Detail Design Approval,Capex,30/08/2025
24ESGMDNI01,CR approval (Contractor),Baseline,30/09/2025
24ESGMDNI01,CR approval (Contractor),Capex,30/09/2025
24ESGMDNI01,Completion of Technical evaluation (Contractor),Baseline,30/01/2026
24ESGMDNI01,Completion of Technical evaluation (Contractor),Capex,30/01/2026
24ESGMDNI01,Letter of Award (Contractor),Baseline,28/02/2026
24ESGMDNI01,Letter of Award (Contractor),Capex,28/02/2026
24ESGMDNI01,Site Handing Over,Baseline,30/03/2026
24ESGMDNI01,Site Handing Over,Capex,30/03/2026
24ESGMDNI01,T&C / Energisation,Baseline,28/05/2029
24ESGMDNI01,T&C / Energisation,Capex,28/05/2029
24ESGMDNI01,Project Completion,Baseline,28/05/2031
24ESGMDNI01,Project Completion,Capex,28/05/2031
24ESGMDDI01,Business Case Approval,Baseline,30/05/2024
24ESGMDDI01,Business Case Approval,Capex,30/05/2024
24ESGMDDI01,CR approval (Consultant),Baseline,29/06/2024
24ESGMDDI01,CR approval (Consultant),Capex,29/06/2024
24ESGMDDI01,Letter of Award (Consultant),Baseline,30/11/2024
24ESGMDDI01,Letter of Award (Consultant),Capex,30/11/2024
24ESGMDDI01,Detail Design Approval,Baseline,30/07/2025
24ESGMDDI01,Detail Design Approval,Capex,30/07/2025
24ESGMDDI01,CR approval (Contractor),Baseline,29/08/2025
24ESGMDDI01,CR approval (Contractor),Capex,29/08/2025
24ESGMDDI01,Completion of Technical evaluation (Contractor),Baseline,28/02/2026
24ESGMDDI01,Completion of Technical evaluation (Contractor),Capex,28/02/2026
24ESGMDDI01,Letter of Award (Contractor),Baseline,30/03/2026
24ESGMDDI01,Letter of Award (Contractor),Capex,30/03/2026
24ESGMDDI01,Site Handing Over,Baseline,30/06/2026
24ESGMDDI01,Site Handing Over,Capex,30/06/2026
24ESGMDDI01,T&C / Energisation,Baseline,30/06/2028
24ESGMDDI01,T&C / Energisation,Capex,30/06/2028
24ESGMDDI01,Project Completion,Baseline,30/06/2030
24ESGMDDI01,Project Completion,Capex,30/06/2030
25EASIDDI06,Business Case Approval,Baseline,17/10/2024
25EASIDDI06,Business Case Approval,Capex,17/10/2024
25EASIDDI06,CR approval (Consultant),Baseline,17/12/2024
25EASIDDI06,CR approval (Consultant),Capex,17/12/2024
25EASIDDI06,Letter of Award (Consultant),Baseline,17/05/2025
25EASIDDI06,Letter of Award (Consultant),Capex,17/05/2025
25EASIDDI06,Detail Design Approval,Baseline,17/02/2026
25EASIDDI06,Detail Design Approval,Capex,17/02/2026
25EASIDDI06,CR approval (Contractor),Baseline,17/03/2026
25EASIDDI06,CR approval (Contractor),Capex,17/03/2026
25EASIDDI06,Completion of Technical evaluation (Contractor),Baseline,17/09/2026
25EASIDDI06,Completion of Technical evaluation (Contractor),Capex,17/09/2026
25EASIDDI06,Letter of Award (Contractor),Baseline,17/10/2026
25EASIDDI06,Letter of Award (Contractor),Capex,17/10/2026
25EASIDDI06,Site Handing Over,Baseline,17/02/2027
25EASIDDI06,Site Handing Over,Capex,17/02/2027
